player,fname,lname,pname,pos1,pos2,height,weight,yob,forty,bench,vertical,broad,shuttle,cone,dpos,col,dv,start,cteam,posd,jnum,dcp
KB-2500,Kevin,Burnett,K.Burnett,LB,,75,240,1982,4.61,20,36,0,0,0,42,Tennessee,Southeastern (SEC),2005,INA,INA,0,0
KB-2600,Keith,Burns,K.Burns,LB,,74,235,1972,0,0,0,0,0,0,210,Oklahoma State,Big Eight,1994,INA,INA,0,0
KB-2700,Keenan,Burton,K.Burton,WR,,72,202,1984,4.44,10,38.5,125,4.2,6.77,128,Kentucky,Southeastern (SEC),2008,INA,INA,0,0
KB-2800,Kelly,Butler,K.Butler,OL,,78,290,1982,5.11,0,30.5,105,4.96,7.97,172,Purdue,Big Ten,2005,INA,INA,0,0
KB-2900,Kenny,Bynum,K.Bynum,RB,,71,191,1974,0,0,0,0,0,0,138,South Carolina State,Mid-Eastern Athletic (MEAC),1997,INA,INA,0,0
KC-0100,Kelly,Campbell,K.Campbell,WR,,70,173,1980,4.48,0,0,0,0,0,0,Georgia Tech,Atlantic Coast (ACC),2002,INA,INA,0,0
KC-0200,Khary,Campbell,K.Campbell,LB,,75,230,1979,0,0,0,0,0,0,0,Bowling Green,Mid-American (MAC),2002,INA,INA,0,0
KC-0250,Ka'Deem,Carey,K.Carey,RB,,69,207,1992,4.69,19,35,115,4.38,7.08,117,Arizona,Pacific 12,2014,CHI,RB,25,3
KC-0300,Keion,Carpenter,K.Carpenter,DB,,71,205,1977,0,0,0,0,0,0,0,Virginia Tech,Big East,1999,INA,INA,0,0
KC-0400,Kerry,Carter,K.Carter,RB,,73,238,1980,4.61,20,36,118,4.39,7.29,0,Stanford,Pacific 10,2003,INA,INA,0,0
KC-0500,Kevin,Carter,K.Carter,DL,,77,290,1973,0,0,0,0,0,0,6,Florida,Southeastern (SEC),1995,INA,INA,0,0
KC-0600,Ki-Jana,Carter,K.Carter,RB,,70,222,1973,0,0,0,0,0,0,1,Penn State,Big Ten,1996,INA,INA,0,0
KC-0700,Kwame,Cavil,K.Cavil,WR,,74,202,1979,4.54,0,39.5,118,0,0,0,Texas,Big 12,2000,INA,INA,0,0
