pid,psr,trg,loc,yds,comp,succ,spk,dfb
652726,BH-1900,NW-0100,SM,19,1,1,0,
652727,BH-1900,CS-1500,SM,15,1,1,0,
652729,BH-1900,DH-3950,SR,4,1,1,0,
652732,AS-1600,JC-2300,SL,11,1,1,0,
652734,AS-1600,TK-0150,SL,18,1,1,0,
652736,AS-1600,JM-0200,SM,13,1,1,0,
652738,AS-1600,JM-0200,SR,2,1,0,0,
652739,AS-1600,JC-2300,SR,1,1,0,0,
652740,AS-1600,JM-0200,SM,0,0,0,0,JJ-5000
652745,BH-1900,CS-1500,SM,0,0,0,0,
652747,AS-1600,JM-0200,DR,20,1,1,0,
652750,AS-1600,KD-0450,SL,12,1,0,0,
652754,BH-1900,NW-0100,SL,4,1,0,0,
652756,AS-1600,JC-2300,SL,7,1,1,0,
652760,BH-1900,RG-1870,SL,0,0,0,0,
652761,BH-1900,NW-0100,SR,0,0,0,0,MP-0950
652765,AS-1600,DT-0850,SR,0,0,0,0,
652767,BH-1900,AB-1975,SL,7,1,1,0,
652769,BH-1900,DH-3950,SR,0,0,0,0,
652771,BH-1900,NW-0100,SL,18,1,1,0,
652772,BH-1900,NW-0100,SL,13,1,1,0,
652773,BH-1900,RG-1870,SM,18,1,1,0,
652776,BH-1900,NW-0100,DL,0,0,0,0,JF-2050
652781,BH-1900,DH-3950,SR,16,1,1,0,
652782,BH-1900,AB-1975,SM,0,0,0,0,DJ-1500
652784,BH-1900,NW-0100,SM,0,0,0,0,
652787,AS-1600,TK-0150,SM,9,1,1,0,
652791,BH-1900,NW-0100,SM,0,0,0,0,
652792,BH-1900,CS-1500,DM,0,0,0,0,RP-0200
652794,AS-1600,JM-0200,DL,0,0,0,0,
652798,AS-1600,JC-2300,SR,0,0,0,0,
652799,AS-1600,JO-0150,DR,0,0,0,0,
652802,BH-1900,CF-0375,SL,15,1,1,0,
652804,BH-1900,NW-0100,DM,32,1,1,0,
652806,BH-1900,DH-3950,SL,5,1,1,0,
652807,BH-1900,DH-3950,SR,0,0,0,0,
652811,AS-1600,,NL,0,0,0,0,
652812,AS-1600,DT-0850,SR,2,1,0,0,
652815,BH-1900,CS-1500,SL,7,1,1,0,
652816,BH-1900,DH-3950,SL,14,1,1,0,
652819,BH-1900,CP-1950,SL,9,1,1,0,
652825,AS-1600,TK-0150,SR,16,1,1,0,
652827,AS-1600,JM-0200,DR,0,0,0,0,
652829,AS-1600,AW-1650,SM,6,1,0,0,
652833,BH-1900,,NL,0,0,0,0,
652834,BH-1900,DH-3950,DR,0,0,0,0,
652838,AS-1600,AW-1650,SR,6,1,1,0,
652839,AS-1600,AS-0900,SR,0,1,0,0,
652841,RM-0300,DH-3950,SL,8,1,1,0,
652842,RM-0300,DH-3950,SL,14,1,1,0,
652843,RM-0300,RG-1870,SL,0,0,0,0,EB-0800
652844,RM-0300,DH-3950,SL,12,1,1,0,
652846,RM-0300,JG-3850,SL,2,1,0,0,
652847,RM-0300,DH-3950,SR,8,1,1,0,
652851,AS-1600,,NL,0,0,0,0,
652852,AS-1600,TK-0150,SL,11,1,1,0,
652859,RM-0300,KM-3250,SR,17,1,1,0,
652861,RM-0300,KM-3250,DM,0,0,0,0,MP-0950
652862,RM-0300,CS-1500,SR,20,1,1,0,
652863,RM-0300,DH-3950,SR,17,1,1,0,
652864,RM-0300,NW-0100,SR,0,0,0,0,
652865,RM-0300,JG-3850,SR,0,0,0,0,
652866,RM-0300,GG-0400,DR,0,0,0,0,
652874,RF-0500,ED-0200,DL,22,1,1,0,
652876,RF-0500,CO-1300,SL,5,1,0,0,
652877,RF-0500,BM-0300,DL,0,0,0,0,JP-4150
652879,JM-2900,JD-2600,DL,0,0,0,0,
652883,JM-2900,MJ-1175,SM,8,1,1,0,
652884,JM-2900,TG-0025,SR,11,1,1,0,
652888,JM-2900,GB-0200,SL,2,1,0,0,
652889,JM-2900,MJ-1175,SR,6,1,1,0,
652890,JM-2900,GB-0200,SR,22,1,1,0,
652895,JM-2900,RH-3000,SR,0,0,0,0,
652896,JM-2900,SD-0800,SR,0,0,0,0,
652905,JM-0850,JD-2600,SR,13,1,1,0,
652909,JM-0850,TB-1060,DL,54,1,1,0,
652914,RF-0500,BM-0300,SR,0,0,0,0,
652915,RF-0500,ED-0200,DL,0,0,0,0,
652916,RF-0500,CO-1300,DR,43,1,1,0,
652917,RF-0500,BM-0300,DL,0,0,0,0,
652918,RF-0500,CI-0300,SL,9,1,1,0,
652927,RF-0500,KD-0400,SL,0,0,0,0,CR-1150
652931,JM-0850,AH-1900,SL,0,0,0,0,
652933,JM-0850,BH-0800,SR,11,1,1,0,
652934,JM-0850,TB-1060,SL,15,1,1,0,
652936,JM-0850,AH-1900,SL,0,0,0,0,
652941,RF-0500,BM-0300,SR,11,1,1,0,
652942,RF-0500,CO-1300,SL,8,1,1,0,
652943,RF-0500,BP-1200,SL,11,1,1,0,
652944,RF-0500,BM-0300,SL,9,1,1,0,
652945,RF-0500,BM-0300,SR,6,1,1,0,
652946,RF-0500,BP-1200,SR,5,1,1,0,
652947,RF-0500,CO-1300,DL,0,0,0,0,
652949,RF-0500,ED-0200,SM,15,1,1,0,
652954,JM-0850,AH-1900,SM,6,1,1,0,
652957,JM-0850,JD-2600,SR,0,0,0,0,
652958,JM-0850,BH-0800,SL,9,1,1,0,
652962,JM-0850,BH-0800,SL,0,0,0,0,
652965,RF-0500,BM-0300,SR,17,1,1,0,
652968,RF-0500,BM-0300,SR,1,1,1,0,
652971,JM-0850,IC-0300,SR,8,1,1,0,
652973,JM-0850,GB-0200,SM,0,0,0,0,
652976,RF-0500,CO-1300,SR,-1,1,0,0,
652977,RF-0500,BM-0300,SR,18,1,1,0,
652984,RF-0500,BP-1200,DL,0,0,0,0,BM-2850
652989,JM-0850,GB-0200,SL,0,0,0,0,
652990,JM-0850,AH-1900,SR,7,1,1,0,
652991,JM-0850,AH-1900,SL,0,0,0,0,MW-2250
653001,JM-0850,TB-1060,SM,20,1,1,0,
653002,JM-0850,IC-0300,SR,5,1,1,0,
653004,JM-0850,BH-0800,DL,0,0,0,0,MW-2250
653008,RF-0500,BP-1200,SL,0,0,0,0,
653010,JM-0850,BH-0800,SM,0,0,0,0,
653011,JM-0850,TG-0025,SL,9,1,1,0,
653012,JM-0850,TG-0025,SL,0,0,0,0,
653013,JM-0850,GB-0200,SM,14,1,1,0,
653016,JM-0850,AH-1900,SM,11,1,0,0,
653017,JM-0850,TG-0025,SR,0,0,0,0,
653018,RF-0500,CO-1300,SR,0,0,0,0,
653028,AL-1100,TH-1850,SR,11,1,1,0,
653029,AL-1100,DA-0850,SR,8,1,1,0,
653034,AL-1100,TH-1850,SR,0,0,0,0,RD-0050
653035,AL-1100,DM-2775,DR,0,0,0,0,AW-1200
653038,TT-0500,LM-1000,SL,20,1,1,0,
653040,TT-0500,PH-0400,SR,6,1,0,0,
653043,AL-1100,TH-1850,SL,16,1,1,0,
653044,AL-1100,TH-1850,SR,0,0,0,0,
653045,AL-1100,DM-2775,SL,0,0,0,0,
653046,AL-1100,FG-0200,SM,0,0,0,0,
653051,TT-0500,CC-2100,SR,5,1,0,0,
653052,TT-0500,JF-1000,SR,0,0,0,0,
653053,TT-0500,PH-0400,SL,11,1,0,0,
653055,AL-1100,TH-1850,SR,12,1,1,0,
653057,AL-1100,TH-1850,SL,0,0,0,0,NR-0350
653058,AL-1100,TH-1850,DL,30,1,1,0,
653059,AL-1100,TH-1850,DL,0,0,0,0,
653061,TT-0500,LM-1000,SR,4,1,0,0,
653062,TT-0500,RW-4050,SL,15,1,1,0,
653064,TT-0500,PH-0400,DR,51,1,1,0,
653067,AL-1100,DM-2775,SL,6,1,1,0,
653068,AL-1100,TH-1850,DR,0,0,0,0,SG-0650
653069,AL-1100,AJ-0900,SR,9,1,1,0,
653070,AL-1100,DA-0850,SR,3,1,0,0,
653073,AL-1100,TH-1850,SR,8,1,0,0,
653075,TT-0500,CC-2100,DM,27,1,1,0,
653079,TT-0500,LM-1000,SL,0,0,0,0,JN-1350
653085,AL-1100,TH-1850,SM,6,1,1,0,
653088,AL-1100,DM-2775,SL,0,0,0,0,SG-0650
653089,AL-1100,DM-2775,SL,15,1,1,0,
653092,AL-1100,TH-1850,SM,0,0,0,0,SG-0650
653093,AL-1100,AJ-0900,SL,0,0,0,0,
653094,AL-1100,DM-2775,SR,0,0,0,0,
653096,TT-0500,PH-0400,SR,8,1,1,0,
653106,TT-0500,LM-1000,SL,22,1,1,0,
653107,TT-0500,CC-2100,SR,11,1,1,0,
653108,TT-0500,PH-0400,SR,3,1,0,0,
653110,TT-0500,RW-4050,SR,12,1,1,0,
653120,AL-1100,AJ-0900,SL,0,0,0,0,
653121,AL-1100,AJ-0900,SR,7,1,1,0,
653122,AL-1100,DM-2775,SL,7,1,1,0,
653126,AL-1100,AJ-0900,SL,5,1,0,0,
653127,AL-1100,DM-2775,SR,6,1,1,0,
653128,AL-1100,DM-2775,SM,10,1,1,0,
653131,AL-1100,TH-1850,SR,5,1,1,0,
653132,AL-1100,AJ-0900,SL,3,1,0,0,
653134,AL-1100,TH-1850,SR,0,0,0,0,
653136,AL-1100,DA-0850,SR,0,0,0,0,PB-0750
653137,AL-1100,DM-2775,SM,2,1,1,0,
653142,TT-0500,CC-2100,SL,0,1,0,0,
653145,AL-1100,FG-0200,SR,-2,1,0,0,
653146,AL-1100,FG-0200,SR,2,1,0,0,
653150,TT-0500,SW-0450,DR,0,0,0,0,VD-0200
653152,TT-0500,SW-0450,SM,0,0,0,0,CG-0750
653157,TT-0500,SW-0450,DR,0,0,0,0,
653160,AL-1100,DA-0850,SR,0,0,0,0,
653161,AL-1100,DA-0850,SM,0,0,0,0,
653162,AL-1100,PD-0800,SM,16,1,1,0,
653163,AL-1100,PD-0800,DR,29,1,1,0,
653164,AL-1100,TV-0150,SR,18,1,1,0,
653166,AL-1100,AJ-0900,SR,0,0,0,0,SG-0650
653167,AL-1100,DM-2775,SL,0,0,0,0,MB-5300
653168,AL-1100,DA-0850,SL,6,1,1,0,
653178,AL-1100,CF-0650,SR,5,1,1,0,
653180,AL-1100,PD-0800,DR,0,0,0,0,
653181,AL-1100,AJ-0900,DL,0,0,0,0,
653182,AL-1100,AJ-0900,SR,0,0,0,0,
653183,AL-1100,AJ-0900,DR,0,0,0,0,MB-5300
653189,KC-2350,AR-1100,SR,4,1,1,0,
653192,KC-2350,JR-1150,SL,12,1,1,0,
653196,KC-2350,JR-1150,SL,9,1,1,0,
653203,RT-0150,GJ-0400,SM,8,1,1,0,
653207,KC-2350,DJ-0200,DR,0,0,0,0,
653209,KC-2350,PG-0100,SM,12,1,1,0,
653212,KC-2350,JR-1150,SL,0,0,0,0,
653213,KC-2350,PG-0100,DR,18,1,1,0,
653218,RT-0150,JC-0400,SR,0,0,0,0,JH-2800
653219,RT-0150,JL-0215,SL,8,1,1,0,
653220,RT-0150,JL-0215,SM,5,1,1,0,
653221,RT-0150,JL-0215,SR,0,0,0,0,DH-0700
653223,RT-0150,JL-0215,SM,0,0,0,0,
653228,KC-2350,JR-1150,SR,0,0,0,0,
653229,RT-0150,DS-2170,DL,0,0,0,0,
653230,RT-0150,JC-0400,SR,6,1,1,0,
653231,RT-0150,DW-3125,SR,3,1,0,0,
653236,KC-2350,PG-0100,DM,22,1,1,0,
653242,KC-2350,JR-1150,SL,6,1,1,0,
653243,KC-2350,PG-0100,SL,4,1,1,0,
653245,KC-2350,DC-0775,SL,9,1,1,0,
653248,KC-2350,RG-1650,SR,0,0,0,0,
653249,KC-2350,JR-1150,SL,4,1,1,0,
653252,RT-0150,JC-0400,DR,27,1,1,0,
653253,RT-0150,GJ-0400,SR,11,1,1,0,
653255,RT-0150,KS-2350,DR,0,0,0,0,
653256,RT-0150,KS-2350,SR,12,1,1,0,
653257,RT-0150,JC-0400,DR,0,0,0,0,
653258,RT-0150,JC-0400,SR,13,1,1,0,
653259,RT-0150,JL-0215,SR,0,0,0,0,DA-0950
653260,RT-0150,RM-1500,SR,3,1,1,0,
653265,RT-0150,RM-1500,SM,15,1,1,0,
653267,RT-0150,JC-0400,SR,0,0,0,0,
653268,RT-0150,JC-0400,DR,27,1,1,0,
653269,RT-0150,JL-0215,SL,6,1,1,0,
653270,RT-0150,RM-1500,SR,0,0,0,0,
653273,KC-2350,DY-0200,SR,0,1,0,0,
653274,KC-2350,JC-5680,SL,0,1,0,0,
653276,RT-0150,RM-1500,SM,7,1,1,0,
653278,RT-0150,JL-0215,SL,4,1,1,0,
653280,RT-0150,GJ-0400,SL,10,1,0,0,
653284,KC-2350,PG-0100,SL,6,1,1,0,
653287,KC-2350,JR-1150,DM,25,1,1,0,
653289,KC-2350,DC-0775,SM,-1,1,0,0,
653295,RT-0150,JL-0215,SR,11,1,1,0,
653298,RT-0150,JL-0215,SM,20,1,1,0,
653299,RT-0150,KS-2350,SL,0,0,0,0,KR-0950
653302,RT-0150,JL-0215,SR,-7,1,0,0,
653305,RT-0150,JL-0215,SL,6,1,0,0,
653309,KC-2350,AR-1100,SL,0,0,0,0,
653316,KC-2350,AR-1100,DM,18,1,1,0,
653317,KC-2350,JR-1150,SL,3,1,0,0,
653318,KC-2350,RG-1650,SM,15,1,1,0,
653320,KC-2350,JR-1150,DR,0,0,0,0,RJ-2000
653321,KC-2350,PG-0100,DL,0,0,0,0,
653324,RT-0150,RM-1500,SR,9,1,1,0,
653326,RT-0150,JL-0215,DR,0,0,0,0,
653327,RT-0150,RM-1500,SM,0,0,0,0,RK-0500
653329,KC-2350,PG-0100,DL,0,0,0,0,JT-0850
653330,KC-2350,AR-1100,SM,14,1,1,0,
653332,KC-2350,PG-0100,SM,12,1,1,0,
653335,KC-2350,JR-1150,SL,4,1,0,0,
653336,KC-2350,CT-1220,SL,0,0,0,0,
653337,KC-2350,JR-1150,SM,0,0,0,0,
653339,RT-0150,LM-1150,SR,22,1,1,0,
653347,BB-2425,RG-1812,DR,0,0,0,0,
653349,CN-0500,TG-0900,SL,0,0,0,0,
653351,CN-0500,ED-0400,SM,9,1,1,0,
653352,CN-0500,CB-3850,SR,7,1,1,0,
653356,CN-0500,JC-5400,SM,0,0,0,0,
653357,CN-0500,TG-0900,SM,0,0,0,0,
653358,CN-0500,GO-0100,SR,11,1,1,0,
653362,CN-0500,ED-0400,SM,0,0,0,0,PP-0800
653365,BB-2425,AR-1250,DR,0,0,0,0,
653370,CN-0500,DF-2200,SL,0,0,0,0,
653371,CN-0500,TG-0900,DR,0,0,0,0,
653373,BB-2425,RG-1812,SL,0,0,0,0,BB-1750
653375,BB-2425,BP-0650,SM,4,1,1,0,
653377,BB-2425,RG-1812,SL,5,1,1,0,
653378,BB-2425,TY-0150,SL,6,1,1,0,
653380,BB-2425,RG-1812,SR,0,0,0,0,
653382,BB-2425,AR-1250,SR,0,0,0,0,
653390,BB-2425,AR-1250,DL,0,0,0,0,
653391,BB-2425,AH-3900,SR,7,1,1,0,
653392,BB-2425,AR-1250,DM,27,1,1,0,
653393,BB-2425,CG-1950,SL,5,1,1,0,
653396,BB-2425,AH-3900,SL,15,1,1,0,
653398,BB-2425,AH-3900,SR,3,1,0,0,
653399,CN-0500,JS-6700,SL,6,1,1,0,
653400,CN-0500,DF-2200,SL,9,1,1,0,
653401,CN-0500,GO-0100,SL,0,0,0,0,
653403,BB-2425,NJ-0150,DL,0,0,0,0,
653404,BB-2425,RG-1812,DM,0,0,0,0,
653408,CN-0500,TG-0900,SR,17,1,1,0,
653409,CN-0500,JC-5400,DR,0,0,0,0,
653411,CN-0500,JS-6700,SL,4,1,1,0,
653412,CN-0500,FW-0750,SR,5,1,1,0,
653413,CN-0500,CB-3850,SL,6,1,1,0,
653415,CN-0500,MT-1300,SR,6,1,1,0,
653418,CN-0500,JC-5400,SM,7,1,1,0,
653421,BB-2425,RG-1812,SL,6,1,1,0,
653422,BB-2425,RG-1812,SL,6,1,1,0,
653423,BB-2425,TY-0150,SM,7,1,1,0,
653424,BB-2425,RG-1812,SM,6,1,1,0,
653426,BB-2425,TY-0150,SM,3,1,0,0,
653427,BB-2425,AH-3900,DR,24,1,1,0,
653428,BB-2425,AR-1250,SR,0,0,0,0,JN-1750
653429,BB-2425,RG-1812,SL,1,1,1,0,
653435,CN-0500,TG-0900,SL,0,0,0,0,
653436,CN-0500,TG-0900,SM,37,1,1,0,
653443,BB-2425,AH-3900,SM,11,1,1,0,
653445,BB-2425,TY-0150,SR,0,0,0,0,
653449,BB-2425,DR-2250,SR,15,1,1,0,
653452,BB-2425,AH-3900,DL,0,0,0,0,
653455,CN-0500,TG-0900,SL,0,0,0,0,CC-2600
653456,CN-0500,JC-5400,DR,24,1,1,0,
653460,CN-0500,FW-0750,SR,-2,1,0,0,
653467,CN-0500,JC-5400,SL,4,1,0,0,
653468,CN-0500,MT-1300,SM,0,0,0,0,
653470,BB-2425,RG-1812,SR,0,1,0,0,
653471,BB-2425,DR-2250,SR,11,1,1,0,
653472,BB-2425,AR-1250,SR,0,0,0,0,
653474,BB-2425,RG-1812,SL,4,1,1,0,
653478,CN-0500,CB-3850,SR,0,0,0,0,CS-2350
653480,CN-0500,JC-5400,SR,10,1,1,0,
653482,CN-0500,GO-0100,SR,0,0,0,0,DH-4000
653485,CN-0500,JS-6700,SL,6,1,1,0,
653487,CN-0500,JS-6700,SL,9,1,1,0,
653494,BB-2425,CH-1200,SM,0,0,0,0,MA-0300
653499,BB-2425,AH-3900,DR,0,0,0,0,
653500,BB-2425,RG-1812,DM,0,0,0,0,
653501,BB-2425,RG-1812,SL,0,0,0,0,BB-1750
653502,BB-2425,BW-0400,SL,13,1,1,0,
653503,BB-2425,,NL,0,0,0,1,
653504,BB-2425,BP-0650,SR,0,0,0,0,
653506,BB-2425,BW-0400,SL,4,1,0,0,
653510,RW-3850,JG-2900,SL,7,1,1,0,
653513,RW-3850,FJ-0100,SL,16,1,1,0,
653515,RW-3850,TL-1025,SR,7,1,1,0,
653516,RW-3850,DB-0500,SR,2,1,0,0,
653523,NF-0250,TA-1050,SL,-9,1,0,0,
653530,NF-0250,JC-4300,SM,22,1,1,0,
653533,NF-0250,BC-3070,SL,17,1,1,0,
653534,NF-0250,TA-1050,DR,0,0,0,0,RS-1000
653535,NF-0250,BC-3070,SL,11,1,1,0,
653537,NF-0250,JC-4300,DR,20,1,1,0,
653542,RW-3850,ML-2500,SL,0,1,0,0,
653547,RW-3850,ML-2500,SR,0,0,0,0,
653553,NF-0250,BC-3070,SL,0,0,0,0,CA-1300
653554,NF-0250,SB-0070,SM,7,1,0,0,
653558,RW-3850,CM-0850,SR,8,1,1,0,
653560,RW-3850,TL-1025,SR,7,1,1,0,
653561,RW-3850,ML-2500,SM,7,1,1,0,
653563,RW-3850,JK-0250,SR,0,0,0,0,JJ-1550
653567,NF-0250,JC-4300,SR,5,1,0,0,
653568,NF-0250,KB-1900,SL,0,0,0,0,
653570,RW-3850,JK-0250,SR,23,1,1,0,
653571,RW-3850,JK-0250,SR,2,1,0,0,
653572,RW-3850,DB-0500,SL,7,1,1,0,
653575,RW-3850,TL-1025,SR,12,1,1,0,
653576,RW-3850,JK-0250,SL,5,1,1,0,
653578,RW-3850,ML-2500,SR,0,0,0,0,
653582,NF-0250,SB-0070,DM,29,1,1,0,
653588,RW-3850,JK-0250,SM,9,1,1,0,
653590,RW-3850,JG-2900,SR,1,1,0,0,
653593,NF-0250,KB-1900,DM,16,1,1,0,
653597,NF-0250,JC-4300,DL,30,1,1,0,
653602,RW-3850,DB-0500,SR,0,0,0,0,
653609,RW-3850,JK-0250,SL,4,1,0,0,
653610,RW-3850,DB-0500,SL,0,0,0,0,MR-1250
653614,NF-0250,JC-4300,DR,0,0,0,0,
653616,RW-3850,DB-0500,SR,4,1,1,0,
653618,RW-3850,JG-2900,SM,19,1,1,0,
